72000,1.0387e-06,0.18533,0.24707,0.21959,0.14638,0.078057,0.034688,0.013213,0.0044037,0.0013046,0.00034786,0.93049,12227,1197,1.5967e-06,1.2747e-12,6.784e-19,2.7079e-25,8.6473e-32,2.3011e-38,5.2488e-45,1.0476e-51,1.8584e-58,2.9673e-65,1.5967e-06,0,0,0,0,6
1.44e+05,9.9473e-07,0.19868,0.25367,0.21592,0.13784,0.070393,0.029958,0.010928,0.0034882,0.00098969,0.00025272,0.92219,11665,1191,1.5291e-06,1.1691e-12,5.9588e-19,2.2779e-25,6.9663e-32,1.7754e-38,3.8782e-45,7.4126e-52,1.2594e-58,1.9258e-65,1.5291e-06,0,0,0,0,12
2.16e+05,1.003e-06,0.19612,0.25249,0.2167,0.13949,0.071829,0.030824,0.011338,0.003649,0.0010439,0.00026878,0.92383,11778,1185,1.5418e-06,1.1886e-12,6.1088e-19,2.3547e-25,7.2611e-32,1.8659e-38,4.1098e-45,7.9208e-52,1.3569e-58,2.0922e-65,1.5418e-06,0,0,0,0,18
2.88e+05,1.042e-06,0.18434,0.24654,0.21982,0.147,0.078641,0.035059,0.013397,0.0044794,0.0013313,0.00035611,0.93108,12288,1179,1.6018e-06,1.2828e-12,6.8494e-19,2.7428e-25,8.7867e-32,2.3457e-38,5.3676e-45,1.0747e-51,1.9127e-58,3.0637e-65,1.6018e-06,0,0,0,0,24
3.6e+05,1.0449e-06,0.18347,0.24607,0.22002,0.14755,0.079157,0.035389,0.013561,0.004547,0.0013552,0.00036353,0.9316,12332,1173,1.6063e-06,1.2901e-12,6.9076e-19,2.7739e-25,8.9114e-32,2.3857e-38,5.4745e-45,1.0992e-51,1.9618e-58,3.1513e-65,1.6063e-06,0,0,0,0,30
4.32e+05,1.0561e-06,0.1802,0.24426,0.22073,0.1496,0.081115,0.036651,0.014194,0.0048101,0.0014489,0.00039281,0.93353,12482,1167,1.6234e-06,1.3177e-12,7.1309e-19,2.8941e-25,9.3967e-32,2.5425e-38,5.8964e-45,1.1966e-51,2.1583e-58,3.5039e-65,1.6234e-06,0,0,0,0,36
5.04e+05,1.0133e-06,0.19297,0.25098,0.21761,0.14151,0.073619,0.031916,0.01186,0.0038562,0.0011145,0.00028991,0.92581,11935,1161,1.5576e-06,1.2131e-12,6.2988e-19,2.4528e-25,7.6413e-32,1.9837e-38,4.4142e-45,8.5948e-52,1.4875e-58,2.317e-65,1.5576e-06,0,0,0,0,42
5.76e+05,1.0176e-06,0.19165,0.25033,0.21798,0.14236,0.074375,0.032382,0.012084,0.003946,0.0011453,0.0002992,0.92663,11996,1156,1.5643e-06,1.2235e-12,6.3799e-19,2.495e-25,7.806e-32,2.0352e-38,4.5481e-45,8.8932e-52,1.5458e-58,2.418e-65,1.5643e-06,0,0,0,0,48
6.48e+05,1.0361e-06,0.18609,0.24748,0.21941,0.1459,0.07761,0.034404,0.013072,0.0043462,0.0012844,0.00034163,0.93004,12241,1150,1.5927e-06,1.2684e-12,6.7341e-19,2.6814e-25,8.5416e-32,2.2674e-38,5.1591e-45,1.0271e-51,1.8177e-58,2.8952e-65,1.5927e-06,0,0,0,0,54
7.2e+05,9.8901e-07,0.20047,0.25447,0.21535,0.13668,0.069403,0.029367,0.010651,0.0033801,0.00095349,0.00024207,0.92104,11637,1145,1.5203e-06,1.1557e-12,5.8565e-19,2.2259e-25,6.7681e-32,1.7149e-38,3.7246e-45,7.0781e-52,1.1956e-58,1.8177e-65,1.5203e-06,0,0,0,0,60
